
#K(subnets), #B(sample_interval), Tau_visited, P_visited, Tau_topk, P_topk, dataset, seed, #valBatch, PretrainedWeights
8,1,0.6369940581341128,8.094905291667967e-209,0.020628424925175866,0.8878256018231004,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_8net_1batch/2022-04-27_23-57-53/checkpoints/last.ckpt
8,5,0.4428858658143635,4.873295149383865e-102,0.09364956664084463,0.5240268097083334,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_8net_5batch/2022-04-29_04-38-17/checkpoints/last.ckpt
16,1,0.6683658784434149,1.1646316361576957e-229,0.0949239807728116,0.5119242287389385,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_16net_1batch_watch/2022-05-04_00-37-38/checkpoints/last.ckpt
16,1,0.6236945189970324,1.398303059732899e-200,0.309426373877638,0.03439142257881747,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_16net_1batch/2022-04-28_05-43-05/checkpoints/last.ckpt
16,1,0.6371307432848764,8.426914744603716e-209,0.13951602128303114,0.3453315476166142,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_16net_1batch_watch_NoneGrad/2022-05-04_00-46-44/checkpoints/last.ckpt
16,1,0.6397806286813876,7.476371121574072e-211,-0.06900655593423542,0.6380975269385074,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_16net_1batch/2022-04-28_01-39-13/checkpoints/last.ckpt
32,1,0.6369571419807375,1.0588939689590196e-208,0.11970586622859411,0.43233433657436404,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_32net_1batch/2022-04-28_06-04-10/checkpoints/last.ckpt



#K(subnets), #B(sample_interval), Tau_visited, P_visited, Tau_topk, P_topk, dataset, seed, #valBatch, PretrainedWeights
1,1,0.5933144800523706,1.4385500947717226e-181,0.20379122698862887,0.1702511419770616,cifar10,666,30,/search_nb201_gpunum1_c10_1net_1batch_watch_NoneGrad/2022-05-04_00-36-55
1,1,0.5737253559249476,1.170144646168197e-169,0.1700926270488942,0.24093588927586607,cifar10,666,30,/search_nb201_gpunum1_c10_1net_1batch_watch_NoneGrad/2022-05-04_00-52-42
1,1,0.576745992561234,1.2314334486644248e-171,0.25970569055743714,0.1270798667539912,cifar10,666,30,/search_nb201_gpunum1_c10_1net_1batch_watch/2022-05-04_00-35-49
1,1,0.5931263142191094,2.1429615336645825e-181,0.02215700971892587,0.892857536153099,cifar10,666,30,/search_nb201_gpunum1_c10_1net_1batch/2022-04-27_09-41-26
1,1,0.5931263142191094,2.1429615336645825e-181,0.02215700971892587,0.892857536153099,cifar10,666,30,/search_nb201_gpunum1_c10_1net_1batch/2022-04-27_09-41-26
1,1,0.4860938938973761,2.364693058326207e-122,0.0647518267761447,0.655907211564804,cifar10,666,30,/search_nb201_gpunum1_c10_1net_1batch/2022-04-27_09-20-46
1,5,0.5392880830711826,3.0950384004915976e-150,-0.13432313511206664,0.3591692079538287,cifar10,666,30,/search_nb201_gpunum1_c10_1net_5batch/2022-04-27_09-41-26
1,5,0.3676210667017858,6.370388221775259e-71,-0.07458698539828913,0.6062701494123015,cifar10,666,30,/search_nb201_gpunum1_c10_1net_5batch/2022-04-27_09-25-52
1,10,0.5110288677415978,4.509158351108842e-135,-0.20177574257674694,0.16600985710779514,cifar10,666,30,/search_nb201_gpunum1_c10_1net_10batch/2022-04-27_12-28-35
1,10,0.4757507581308744,1.641483624104406e-117,0.20768983642358502,0.16249327381999878,cifar10,666,30,/search_nb201_gpunum1_c10_1net_10batch/2022-04-27_09-25-52
2,1,0.6799114721289332,1.367668953290226e-237,-0.3237177788501868,0.025920454389328544,cifar10,666,30,/search_nb201_gpunum1_c10_2net_1batch/2022-04-27_23-57-53
2,1,0.6799114721289332,1.367668953290226e-237,-0.3237177788501868,0.025920454389328544,cifar10,666,30,/search_nb201_gpunum1_c10_2net_1batch/2022-04-27_23-57-53
2,1,0.6406717360641692,4.545645580755133e-211,0.14335222427654415,0.324712541769655,cifar10,666,30,/search_nb201_gpunum1_c10_2net_1batch/2022-04-27_09-29-08
2,5,0.5321223743785476,2.3859429614243354e-146,-0.17688712067261214,0.22289107907125738,cifar10,666,30,/search_nb201_gpunum1_c10_2net_5batch/2022-04-29_04-38-17
